"Sa,g",a,R,C0,C1,Te,Cm,Base Shear Coefficient,Target
0.9,90,1.3,1,1.01,0.24,100,0.69,0.5
1.5,90,2.1,1,1.05,0.24,100,0.69,1.8
1.7,90,2.4,1,1.07,0.24,100,0.69,1.9
0.8,90,1,1,1,0.29,100,0.8,0.9
1.5,90,1.9,1,1.03,0.29,100,0.8,2
1.6,90,2,1,1.03,0.29,100,0.8,2.2
0.8,60,1,1.3,1,0.27,82.5,0.66,0.8
1.2,60,1.4,1.3,1.02,0.27,82.5,0.66,1.4
1.5,60,1.9,1.3,1.03,0.27,82.5,0.66,2
0.8,60,1.2,1.3,1.01,0.28,82.5,0.55,0.8
1.1,60,1.7,1.3,1.02,0.28,82.5,0.55,1.5
1.5,60,2.3,1.3,1.04,0.28,82.5,0.55,1.9
0.1,60,1.1,1.26,1,2.13,88.6,0.11,1.1
0.2,60,1.6,1.28,1,2.05,86.5,0.11,1.2
0.1,60,0.3,1,1,1.47,100,0.26,0.8
0.3,90,1.2,1,1,1.47,100,0.26,1.8
